,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E
"Idaho: Summary level: 040, state:16",1546011,11347,21589,23113,3079,59093,52711,1716943,74988,33383,10797,78275,36425,18598,196.0,163.0,0.0,593.0,348.0,0.0,769.0,435.0,64.0,602.0,368.0,45.0,240.0,137.0,0.0,922.0,344.0,42.0,,,,,,,921.0,410.0,53.0,605.0,107.0,72.0,1072,312,30,936,77,0,3250,602,284,3350,463,542
"Illinois: Summary level: 040, state:17",9119912,1818986,29910,694968,4860,797916,335471,12802023,421216,198654,73775,469138,268685,142700,57200.0,25138.0,6003.0,80046.0,42340.0,16142.0,1251.0,160.0,206.0,1496.0,381.0,77.0,25191.0,10697.0,2139.0,28850.0,14042.0,4178.0,,,,,,,14014.0,4908.0,1044.0,15126.0,6315.0,1272.0,4632,1404,447,5139,2293,897,41505,15618,4099,45361,22108,6003
"Indiana: Summary level: 040, state:18",5577897,623961,12397,148366,1441,125725,177031,6666818,256730,118987,38256,287761,153129,80927,17170.0,7150.0,1924.0,23558.0,9747.0,5806.0,900.0,168.0,0.0,544.0,333.0,134.0,2183.0,751.0,383.0,3303.0,900.0,526.0,,,,,,,2021.0,504.0,389.0,1370.0,670.0,478.0,1522,769,0,2700,1214,920,6347,2576,710,6821,2050,1534
"Iowa: Summary level: 040, state:19",2831066,107076,10791,81714,5876,41459,67729,3145711,135239,66284,24821,146017,86921,50143,2226.0,777.0,256.0,1677.0,824.0,263.0,302.0,239.0,0.0,159.0,77.0,0.0,1392.0,576.0,0.0,2304.0,778.0,291.0,,,,,,,435.0,284.0,50.0,270.0,86.0,48.0,491,98,157,529,338,140,1605,395,127,2041,985,319
"Kansas: Summary level: 040, state:20",2462215,167207,21426,85840,3712,71385,101338,2913123,112720,51890,21315,121722,67648,39764,4733.0,1295.0,651.0,5421.0,2145.0,818.0,384.0,350.0,97.0,748.0,445.0,158.0,2046.0,759.0,0.0,2638.0,1212.0,93.0,,,,,,,1168.0,59.0,275.0,1192.0,454.0,380.0,1264,709,134,1604,891,269,4834,1494,544,5322,1875,937
"Kentucky: Summary level: 040, state:21",3872670,361637,7777,64878,3527,42177,101523,4454189,185276,83718,24179,208697,111474,47029,9408.0,4243.0,1095.0,13624.0,6525.0,2430.0,,,,,,,1085.0,633.0,0.0,1718.0,608.0,101.0,,,,,,,284.0,18.0,14.0,320.0,0.0,63.0,1197,955,194,1662,918,165,1767,724,33,1845,631,162
"Louisiana: Summary level: 040, state:22",2890818,1521339,23848,84816,1517,75586,86409,4684333,140099,65790,19835,155009,86016,38982,49929.0,15442.0,4014.0,62675.0,27752.0,10501.0,1257.0,148.0,268.0,745.0,632.0,197.0,2470.0,341.0,319.0,3357.0,1447.0,689.0,,,,,,,962.0,159.0,230.0,1029.0,416.0,59.0,1454,693,262,1793,900,145,3862,2680,622,4990,3574,1254
"Maine: Summary level: 040, state:23",1261611,16372,9340,15157,228,2621,30578,1335907,74898,32066,12228,80518,39396,22336,583.0,0.0,0.0,28.0,115.0,0.0,348.0,216.0,124.0,350.0,275.0,0.0,371.0,131.0,4.0,683.0,242.0,12.0,,,,,,,,,,,,,836,122,0,449,271,24,644,495,8,523,281,69
"Maryland: Summary level: 040, state:24",3322483,1806673,18931,391328,2143,305303,205316,6052177,165804,79340,27061,185250,101427,53881,57091.0,22891.0,6935.0,81360.0,36718.0,14513.0,521.0,465.0,320.0,852.0,351.0,158.0,13025.0,6974.0,1733.0,17164.0,7487.0,3016.0,,,,,,,3034.0,693.0,437.0,3056.0,2150.0,445.0,2238,627,243,3152,1400,242,8067,2183,1316,10465,4875,1793
"Massachusetts: Summary level: 040, state:25",5387411,531887,15097,452717,993,261841,209873,6859819,262186,118861,48244,301462,160697,97660,14524.0,5146.0,1638.0,17943.0,9878.0,3387.0,601.0,119.0,29.0,336.0,248.0,65.0,10856.0,5104.0,2358.0,12892.0,7666.0,1885.0,,,,,,,3749.0,1100.0,615.0,5701.0,2440.0,759.0,2669,1286,437,3117,1302,864,13366,5671,1301,18176,8169,2567
"Michigan: Summary level: 040, state:26",7814775,1374615,53461,308052,2951,113928,294529,9962311,402396,183428,65482,435485,234215,119819,45453.0,16516.0,6010.0,60431.0,27213.0,13241.0,1631.0,643.0,81.0,2443.0,649.0,218.0,6968.0,5483.0,316.0,10025.0,4887.0,1317.0,,,,,,,1575.0,593.0,145.0,2001.0,1410.0,447.0,4270,1350,530,5500,2373,377,8735,3326,1096,8466,4572,2322
"Minnesota: Summary level: 040, state:27",4610465,361130,60803,273194,2044,110733,158237,5576606,223058,105298,39749,238956,131843,73092,6637.0,1645.0,350.0,6528.0,2702.0,888.0,1495.0,367.0,53.0,1255.0,571.0,361.0,4451.0,1618.0,458.0,5592.0,3310.0,1409.0,,,,,,,758.0,554.0,49.0,1240.0,543.0,0.0,1559,402,13,1033,518,243,2681,1306,441,3510,1670,244
"Mississippi: Summary level: 040, state:28",1735887,1134333,13746,27694,1095,30914,40431,2984100,90987,43955,11907,102688,58666,24904,33815.0,12335.0,3323.0,46275.0,19851.0,7944.0,424.0,39.0,0.0,383.0,79.0,89.0,1217.0,392.0,0.0,1599.0,429.0,284.0,,,,,,,37.0,58.0,157.0,194.0,39.0,40.0,1109,922,94,711,213,143,1429,427,303,1538,732,140
"Missouri: Summary level: 040, state:29",5013597,698380,25567,124518,8956,81237,161277,6113532,243568,122553,36716,272473,151655,76353,22183.0,8032.0,2407.0,28436.0,13547.0,6052.0,1242.0,330.0,0.0,1061.0,188.0,288.0,2739.0,1331.0,252.0,4849.0,2344.0,495.0,,,,,,,529.0,381.0,0.0,725.0,804.0,103.0,2245,1287,46,3480,965,380,3934,2272,271,4880,2531,538
"Montana: Summary level: 040, state:30",930548,4635,64908,7366,1150,7788,34098,1050493,54997,24515,7920,53644,27566,12299,,,,,,,1539.0,672.0,228.0,1709.0,924.0,231.0,,,,,,,,,,,,,69.0,119.0,0.0,96.0,47.0,0.0,662,104,75,725,339,43,773,317,0,486,278,103
"Nebraska: Summary level: 040, state:31",1677092,88952,15619,47118,1244,38823,51228,1920076,77065,37033,12796,82394,45653,27094,1688.0,599.0,323.0,2560.0,1323.0,328.0,267.0,135.0,24.0,220.0,89.0,36.0,785.0,381.0,106.0,837.0,522.0,76.0,,,,,,,234.0,0.0,14.0,358.0,58.0,0.0,819,54,41,595,200,7,3305,779,309,2841,890,278
